meta.config,problem.n,problem.nb,meta.cycle,distr.procs,distr.hosts,stc.code,stc.mpi,stc.mpic,result.time
sw1,48424920,302660,,16,2,4518376918781094.0,249543865.3650916,2.9999999999999996,3.07472
sw1,108956070,680980,,24,3,2.2873744770539588e+16,560478745.326738,2.9999999999999996,7.72003
sw1,193699670,1210620,,32,4,7.229147859561362e+16,995522425.3075578,2.9999999999999996,9.99959
sw1,14648540,83230,,8,1,413483628252651.1,79602890.73101488,2.9999999999999996,1.84162
sw1,58594150,332920,,16,2,6615313177202857.0,316811114.61554897,2.9999999999999996,3.7021
sw1,131836840,749070,,24,3,3.348930643063083e+16,711625226.5770402,2.9999999999999996,8.8053
sw1,234376600,1331690,,32,4,1.0584161422199637e+17,1264045226.557786,2.9999999999999996,12.53796
sw1,17432970,90800,,8,1,585609227966832.0,98269659.73194529,2.9999999999999996,2.18207
sw1,69731880,363190,,16,2,9369196108941248.0,392950683.7409701,2.9999999999999996,4.38765
sw1,156896730,817170,,24,3,4.743062511248572e+16,884043099.7439805,2.9999999999999996,10.31106
sw1,20459530,98360,,8,1,806589199396115.1,120519388.98258242,2.9999999999999996,2.55161
sw1,81838110,393450,,16,2,1.2904726027059418e+16,479855404.86632615,2.9999999999999996,5.13248
sw1,23728210,105930,,8,1,1084895140342759.0,144587549.98326832,2.9999999999999996,2.94833
sw1,94912840,423720,,16,2,1.7357446583790866e+16,578188829.9916328,2.9999999999999996,5.93415
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.847
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.493
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,7.754
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.397
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,6.944
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,12.1
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.921
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.523
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,5.736
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.351
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,8.629
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,13.074
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.428
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,6.565
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,13.224
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.579
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,9.279
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.388
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,6.888
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,15.687
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.37
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,7.775
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,15.28
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,7.113
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,14.188
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.476
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,7.205
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,13.046
sw2,134217730,8388610,2.0,16,1,6.485434799908854e+17,12595284.999999998,2.9999999999999996,2.428
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,5.504
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,15.729
sw2,134217730,4194300,2.0,32,2,6.485434799908854e+17,12595284.999999998,2.9999999999999996,5.938
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,13.995
sw2,134217730,2097150,2.0,64,4,6.485434799908854e+17,12595284.999999998,2.9999999999999996,10.35
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.448
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.639
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,5.808
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.723
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,10.428
sw2,201326590,3145730,2.0,64,4,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,12.015
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.491
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.645
sw2,201326590,6291460,2.0,32,2,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,8.886
sw2,201326590,12582910,2.0,16,1,1.4540415939061844e+18,16502430.417656431,2.9999999999999996,3.475
